bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bands
6031,31263,87413,217648,483564,984587,1695783,2107081,648341,7934,158,52,39,29,26,14,10,14,14,2,2,3,2,0,2,0,0,2,0,0,0,0,0,0,0,g
9447,36417,104209,263325,593365,1244748,2186213,2692825,1025595,67778,21662,18015,14225,10141,6987,4870,3184,2060,1384,934,662,446,304,207,169,101,78,66,50,36,27,24,12,15,9,g
9043,31531,90146,223510,502857,1036198,1882963,2509394,1216598,84705,23945,19621,15183,10536,7251,4686,3174,1999,1310,906,638,414,311,212,150,135,98,74,67,50,34,20,26,19,12,g
13218,44356,124178,317368,715624,1473278,2663374,3540253,1336596,68318,12868,8392,6370,4514,3214,2347,1512,1074,691,497,363,245,195,127,102,57,65,38,46,36,25,18,19,13,9,g
13001,42233,117786,296190,666040,1366831,2398103,3234964,1233167,57591,7410,3402,2204,1442,946,658,562,365,261,226,173,109,95,76,66,47,35,39,18,20,16,7,7,13,9,g
12303,40220,114221,287382,656053,1373572,2478409,3256493,1056561,58424,10446,5138,3151,1995,1372,933,655,463,309,221,161,122,92,74,49,41,29,29,12,11,12,8,6,3,3,g
14605,46658,128859,321608,711416,1487418,2649005,3327392,940007,43593,9422,5137,3234,2105,1556,1102,750,519,341,248,183,138,93,62,64,33,34,20,20,17,6,9,8,4,9,g
14396,45785,127868,323596,734086,1522317,2751122,3627363,1438505,81752,11988,5918,3512,2274,1530,1052,714,535,328,220,176,135,89,48,45,26,26,13,17,12,18,13,4,3,4,g
26041,80736,225552,569166,1289877,2694036,4875616,6892726,3167619,181683,23652,11204,6678,4240,2851,1927,1379,901,644,411,273,189,158,122,68,65,49,42,32,29,13,10,9,8,6,g
43180,140701,374434,885922,1901385,3638728,5514534,4253862,351790,7188,1921,910,438,204,105,65,49,29,10,14,10,11,5,6,2,3,1,1,3,1,0,0,0,0,0,r
49853,154593,417995,999999,2171205,4224600,6384256,5283920,804600,64915,41696,32167,22805,15561,10322,6681,4573,2857,1923,1346,904,655,473,359,255,178,151,101,91,47,49,36,38,18,10,r
52632,162087,432892,1018675,2187610,4382425,6988347,6879405,1269246,89803,47762,36470,25609,17303,11160,7103,4515,2970,2026,1367,977,675,456,387,282,258,185,121,112,87,71,47,42,28,21,r
64834,194722,523820,1256743,2690088,5311482,8712526,8125472,1205691,65138,26361,17745,12343,8176,5580,3688,2360,1619,1069,795,575,423,304,251,191,125,126,104,61,45,36,33,25,18,16,r
57527,172046,454056,1086891,2335765,4509255,7245236,6853027,980242,51041,18177,10272,6244,4080,2588,1788,1192,849,641,421,302,252,200,162,128,127,91,54,50,49,35,23,18,13,11,r
52243,154599,412311,991505,2157796,4250348,6945509,5929800,733414,49431,18901,10888,6748,4288,2846,1942,1223,849,596,405,317,215,189,122,122,78,57,52,34,17,28,24,19,10,10,r
59036,174548,459369,1076911,2317018,4578298,7377946,6035255,708855,49201,20355,12034,7587,5031,3347,2123,1492,938,735,512,382,262,206,115,97,67,68,49,34,27,19,16,20,4,10,r
63477,186977,499661,1199565,2600196,5142423,8475131,7924414,1226429,74474,27247,15491,9440,5965,3720,2462,1566,1109,695,476,372,230,193,121,79,86,50,42,32,31,25,16,11,11,5,r
111934,328882,870783,2084859,4527622,8979100,14700418,14842073,2725793,152005,51693,30085,18396,11618,7434,4822,3120,2078,1380,994,720,466,399,236,186,139,104,92,64,38,35,30,22,20,9,r
55572,168793,438650,1019943,2149603,4011316,5528231,2402092,72893,3249,811,359,184,92,64,34,29,21,14,11,2,7,9,9,4,4,0,2,0,1,0,0,1,0,0,i
58850,177167,474397,1113422,2404467,4570668,6276557,2988055,232173,54772,41972,32537,23446,16229,10843,7107,4591,3114,2041,1400,906,704,501,370,257,165,145,116,90,48,46,35,34,24,26,i
67221,200792,525218,1221390,2597046,5068103,7375877,4319668,357150,70383,50675,38397,26936,18234,11902,7811,4903,3276,2112,1507,1040,699,602,375,325,222,174,140,103,79,58,64,42,20,18,i
81064,239554,636829,1505099,3201896,6185498,8804950,4298839,304397,58571,34991,23331,15361,10319,6891,4499,3006,2034,1383,918,672,443,341,277,194,141,117,89,92,57,53,39,27,21,14,i
67126,193333,503734,1188599,2527375,4745030,6721329,3281214,215751,36385,19026,11207,7076,4489,2857,1859,1226,886,663,445,334,227,191,149,100,93,67,72,59,38,42,28,19,15,17,i
68060,197212,519505,1225849,2656322,5059884,6738578,2724617,198117,49823,27002,16728,10045,6246,4040,2636,1716,1192,800,563,365,272,209,153,113,77,70,57,40,22,21,21,10,14,4,i
75445,216863,559845,1292750,2756851,5260202,7001097,2701890,190096,45440,25830,16083,10354,6720,4462,2931,1873,1339,934,635,445,308,229,196,129,87,61,45,28,19,21,16,17,7,6,i
75483,218940,572371,1356856,2905118,5618977,8039156,3861753,288399,57030,30055,17868,10880,6928,4386,2799,1898,1300,886,616,417,292,234,168,131,87,62,47,24,26,22,16,7,10,8,i
131031,376827,987276,2316117,4972236,9583401,13756286,7521860,613186,100410,52102,31155,18901,11780,7559,4794,3190,2203,1451,1009,679,505,354,251,175,132,90,82,66,45,42,32,20,16,11,i
36808,116024,303993,709870,1505568,2830948,3001189,513990,17445,2654,812,294,123,63,39,30,26,14,13,10,7,5,4,3,1,2,1,1,1,1,0,1,1,0,0,z
42903,130846,349564,819172,1769537,3366209,3375708,577453,58207,32072,24695,19016,14049,9947,6804,4710,3153,2059,1405,902,648,460,314,221,152,108,89,64,50,42,25,20,12,8,13,z
50522,152090,397155,926903,1968736,3827242,4228469,868971,86026,48617,37173,27952,20769,14699,10097,6630,4352,2950,2010,1368,963,668,435,358,243,205,142,96,70,65,48,35,22,21,20,z
62437,183958,491561,1164274,2477175,4794454,4938335,825536,93768,46741,29059,19169,12785,8640,5962,4064,2730,1792,1259,901,583,406,321,229,150,128,99,68,52,54,27,28,21,12,10,z
49749,145877,380317,898612,1913353,3581606,3576917,609551,63624,28005,15604,9042,5406,3333,2206,1467,969,663,471,361,285,180,141,118,71,72,59,52,38,32,30,15,12,13,7,z
55652,164158,435948,1030172,2236494,4191264,3713663,556463,86698,46078,28137,17291,10445,6608,4120,2623,1805,1182,758,581,359,296,188,156,92,86,68,37,38,28,24,11,14,10,9,z
58054,168280,436770,1015802,2179899,4043267,3278801,457686,82681,46491,29091,18105,11264,7057,4667,3002,1982,1293,901,590,417,266,219,152,109,79,62,40,27,19,16,14,11,6,5,z
58794,171815,453380,1084527,2345479,4427695,4284252,753653,116093,64987,39525,25101,15420,9389,5957,3892,2445,1577,1021,716,487,348,217,174,108,91,72,45,39,31,19,15,11,8,9,z
106136,306147,804637,1892846,4072103,7701793,7672733,1518834,193243,96946,59382,36267,22322,14237,9121,5825,3801,2628,1766,1209,808,544,408,311,172,134,106,78,74,32,39,26,18,11,10,z
